Timestamp	Call	MHz	SNR	Drift	Grid	Pwr	Reporter	RGrid	km	az	GLat	GLong	RLat	RLong
2017-12-13T10:34:00Z	ZS6GC	7.040069	-12	-2	KG43ol	0.2	ZS6HAK	KG43av	125	291	-26.541666666666668	29.166666666666668	-26.125	28.0
2017-12-13T10:38:00Z	ZS6GL	7.040145	-29	0	KG33xv	0.2	ZS6HAK	KG43av	8	90	-26.125	27.916666666666668	-26.125	28.0
2017-12-13T10:38:00Z	ZS6GL	7.040095	0	0	KG33xv	0.2	ZS6HAK	KG43av	8	90	-26.125	27.916666666666668	-26.125	28.0
2017-12-13T10:50:00Z	ZS6GOO	7.040036	-7	-3	KG33xw	0.2	ZS6HAK	KG43av	10	119	-26.083333333333332	27.916666666666668	-26.125	28.0
2017-12-13T10:54:00Z	ZS6GL	7.040103	+2	-1	KG33xv	0.2	ZS6HAK	KG43av	8	90	-26.125	27.916666666666668	-26.125	28.0
2017-12-13T11:00:00Z	ZS6GOO	7.040033	-4	-1	KG33xw	0.2	ZS6HAK	KG43av	10	119	-26.083333333333332	27.916666666666668	-26.125	28.0
2017-12-13T11:02:00Z	ZS4BFN	7.040041	-10	0	KG30bv	0.2	ZS6HAK	KG43av	383	30	-29.125	26.083333333333332	-26.125	28.0
2017-12-13T11:06:00Z	ZS6GL	7.040101	+3	-1	KG33xv	0.2	ZS6HAK	KG43av	8	90	-26.125	27.916666666666668	-26.125	28.0
2017-12-13T11:10:00Z	ZS6GOO	7.040032	-2	-1	KG33xw	0.2	ZS6HAK	KG43av	10	119	-26.083333333333332	27.916666666666668	-26.125	28.0
2017-12-13T11:20:00Z	ZS6GOO	7.040030	-3	-1	KG33xw	0.2	ZS6HAK	KG43av	10	119	-26.083333333333332	27.916666666666668	-26.125	28.0
2017-12-13T11:20:00Z	ZS1OA	7.040001	-19	-1	JF95fx	5	ZS6HAK	KG43av	1274	49	-34.041666666666664	18.416666666666668	-26.125	28.0
2017-12-13T11:22:00Z	ZS6GL	7.040094	+4	0	KG33xv	0.2	ZS6HAK	KG43av	8	90	-26.125	27.916666666666668	-26.125	28.0
2017-12-13T11:30:00Z	ZS6GOO	7.040032	+1	-2	KG33xw	0.2	ZS6HAK	KG43av	10	119	-26.083333333333332	27.916666666666668	-26.125	28.0
2017-12-13T11:34:00Z	ZS6GC	7.040071	-8	-2	KG43ol	0.2	ZS6HAK	KG43av	125	291	-26.541666666666668	29.166666666666668	-26.125	28.0
